GenericName	TradeName	DateDesignated	OrphanDesignation	OrphanDesignationStatus	FDAOrphanApprovalStatus	SponsorCompany
itacitinib		4/17/2017	Treatment of graft versus host disease	Designated	Not FDA Approved for Orphan Indication	Incyte Corporation
Human major histocompatibility complex (MHC) non-restricted T-cell line 104		4/17/2017	Treatment of multiple myeloma	Designated	Not FDA Approved for Orphan Indication	Galileo Research srl
Huperzine A		4/12/2017	Treatment of Dravet syndrome	Designated	Not FDA Approved for Orphan Indication	"Supernus Pharmaceuticals, Inc."
Redaporfin		4/12/2017	Treatment of cholangiocarcinoma	Designated	Not FDA Approved for Orphan Indication	"Luzitin, S.A."
Tasquinimod		4/10/2017	Treatment of multiple myeloma	Designated	Not FDA Approved for Orphan Indication	Active Biotech AB
levosimendan		4/10/2017	Treatment of amyotrophic lateral sclerosis	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Orion Corporation
tubimod		4/10/2017	Treatment of active tuberculosis	Designated	Not FDA Approved for Orphan Indication	"Immunitor, Inc."
merestinib		4/10/2017	Treatment of biliary tract cancer	Designated	Not FDA Approved for Orphan Indication	Eli Lilly and Company
recombinant human club cell protein		4/10/2017	Treatment of bronchiolitis obliterans	Designated	Not FDA Approved for Orphan Indication	"Trove Therapeutics, Inc."
bromodomain and Extra-Terminal (BET) Inhibitor		4/5/2017	Treatment of acute myeloid leukemia	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Celgene Corporation
4-pyridinylmethyl 3(4-chlorophenyl)adamantine carboxamide		3/30/2017	Treatment of cholangiocarcinoma	Designated	Not FDA Approved for Orphan Indication	RedHill Biopharma Ltd.
"3,4-diaminopyridine"		3/30/2017	Treatment of congenital myasthenic syndrome (CMS)	Designated	Not FDA Approved for Orphan Indication	"Catalyst Pharmaceuticals, Inc."
liposomal oxaliplatin		3/30/2017	Treatment of cholangiocarcinoma	Designated	Not FDA Approved for Orphan Indication	"KC Specialty Therapeutics, LLC"
MRG-106 oligonucleotide inhibitor of microRNA miR-155-5p		3/30/2017	Treatment of mycosis fungoides	Designated	Not FDA Approved for Orphan Indication	"miRagen Therapeutics, Inc."
(+)-a-dihydrotetrabenazine		3/30/2017	Treatment pediatric patients with Tourette's syndrome	Designated	Not FDA Approved for Orphan Indication	"Adeptio Pharmaceuticals, Ltd"
Valproic acid		3/30/2017	Treatment of diffuse large B-cell lymphoma	Designated	Not FDA Approved for Orphan Indication	Valcuria AB
"generation 4 hydroxyl-terminated polyamidoamine dendrimer containing an ethylene diamine (EDA) core, amidoamine repate units, and 64 hydroxyl end groups"		3/22/2017	Treatment of x-linked adrenoleukodystrophy	Designated	Not FDA Approved for Orphan Indication	Ashvattha Therapeutics
Vedolizumab		3/21/2017	Treatment of graft versus host disease	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Takeda Development Center Americas, Inc."
ganitumab		3/21/2017	Treatment of Ewing sarcoma.	Designated	Not FDA Approved for Orphan Indication	"NantCell, Inc., a wholly-owned subsidiary of ImmunityBio, Inc."
N-(3-(4-(3-(diisobutylamino)propyl)piperazin-1-yl)propyl)-1H-benzo[d]imidazol-2-amine disulphate salt		3/20/2017	Treatment of progressive supranuclear palsy	Designated	Not FDA Approved for Orphan Indication	Alzprotect sas
Cell-penetrating dominant-negative activating transcription factor 5		3/20/2017	Treatment of glioma	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Sapience Therapeutics, Inc"
avacopan		3/20/2017	Treatment of C3 glomerulopathy	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"ChemoCentryx, Inc."
liposomal annamycin		3/20/2017	Treatment of acute myeloid leukemia.	Designated	Not FDA Approved for Orphan Indication	"Moleculin Biotech, Inc."
Talabostat		3/20/2017	Treatment of stages IIb through IV melanoma	Designated	Not FDA Approved for Orphan Indication	BioXcel Corporation
1-(2-chlorophenyl)-1-(S)-hydroxy-2-(S)-carbamoyloxy-propane		3/20/2017	Treatment of infantile spasms	Designated	Not FDA Approved for Orphan Indication	"Bio-Pharm Solutions, Co., Ltd."
pentetrazol		3/16/2017	Treatment of narcolepsy	Designated	Not FDA Approved for Orphan Indication	"Balance Therapeutics, Inc."
Recombinant human placental growth factor		3/16/2017	Treatment of severe preeclampsia	Designated	Not FDA Approved for Orphan Indication	"Aggamin, LLC"
"synthetic, single stranded, fully phosphorothioated 2¿-OMethyl-RNA and DNA mixmer oligonucleotide-based compound targeted against natural antisense transcripts (NATs)"		3/16/2017	Treatment of Dravet Syndrome	Designated	Not FDA Approved for Orphan Indication	Camp4 Therapeutics
Talabostat		3/16/2017	Treatment of pancreatic cancer	Designated	Not FDA Approved for Orphan Indication	BioXcel Corporation
Mutated form of human acetylcholine receptor a1 extracellular domain subunit		3/16/2017	Treatment of myasthenia gravis	Designated	Not FDA Approved for Orphan Indication	Toleranzia AB
activated natural killer[aNK])		3/15/2017	Treatment of Merkel cell carcinoma	Designated	Not FDA Approved for Orphan Indication	"ImmunityBio, Inc."
fixed dose combination of methimazole and liothyronine		3/6/2017	Treatment of brain metastases in patients with primary lung cancer	Designated	Not FDA Approved for Orphan Indication	Musli Thyropeutics Ltd.
melatonin		3/2/2017	Treatment of acute acetaminophen overdose	Designated	Not FDA Approved for Orphan Indication	WORPHMED Srl
cabozantinib	CABOMETYX	3/2/2017	Treatment of hepatocellular carcinoma.	Designated/Approved		"Exelixis, Inc."
hydroxyurea	Xromi	3/2/2017	Treatment of sickle cell anemia in pediatric patients	Designated/Approved		Nova Laboratories Limited
(s)-perillyl alcohol temozolomide carbamate		2/28/2017	Treatment of intracranially located metastases from breast cancer	Designated	Not FDA Approved for Orphan Indication	"NeOnc Technologies, Inc."
3-pentylbenzeneacetic acid sodium salt		2/28/2017	Treatment of Alström syndrome	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Liminal BioSciences Limited
asciminib	Scemblix	2/27/2017	Treatment of chronic myelogenous leukemia	Designated/Approved		Novartis Pharmaceutical Corporation
asciminib	Scemblix	2/27/2017	Treatment of chronic myelogenous leukemia	Designated/Approved		Novartis Pharmaceutical Corporation
Adeno-associated virus serotype 2/6 (rAAV2/6) vectors encoding zinc finger nucleases (ZFNs) and the human iduronate 2-sulfatase (hIDS) gene		2/27/2017	Treatment of mucopolysaccharidosis type II	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Sangamo Therapeutics, Inc."
Fully human IgG1 antibody specific for CD33		2/27/2017	Treatment of myelodysplastic syndromes (MDS)	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Boehringer Ingelheim Pharmaceuticals, Inc."
"6'-((6-aminopyrimidin-4-yl)amino)-8'-methyl-2'H-spiro[cyclohexane-1,3'-imidazo[1,5a]pyridine]-1',5'-dione hydrochloride"		2/23/2017	Treatment of diffuse large B-cell lymphoma	Designated	Not FDA Approved for Orphan Indication	eFFECTOR Therapeutics
Recombinant human histidyl-tRNA synthetase		2/23/2017	Treatment of patients with limb girdle muscular dystrophy	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	aTyr Pharma
sofosbuvir and velpatasvir	Epclusa	2/22/2017	Treatment of pediatric chronic hepatitis C virus (HCV) infection	Designated/Approved		"Gilead Sciences, Inc."
abatacept		2/22/2017	Treatment of idiopathic inflammatory myopathy (IIM)	Designated	Not FDA Approved for Orphan Indication	Bristol-Myers Squibb Research & Development
Abatacept		2/22/2017	Treatment of giant cell arteritis	Designated	Not FDA Approved for Orphan Indication	Bristol-Myers Squibb Research & Development
ustekinumab		2/22/2017	Treatment of pediatric ulcerative colitis	Designated	Not FDA Approved for Orphan Indication	"Janssen Biotech, Inc."
sofosbuvir and velpatasvir	Epclusa	2/22/2017	Treatment of pediatric chronic hepatitis C virus (HCV) infection	Designated/Approved		"Gilead Sciences, Inc."
"5-aza-2'-dexocytidine combined with 1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-4-hydroxy-1,3-diazinan-2-one"		2/16/2017	Treatment of thalassemia	Designated	Not FDA Approved for Orphan Indication	Novo Nordisk Inc.
melatonin		2/14/2017	Treatment of short bowel syndrome	Designated	Not FDA Approved for Orphan Indication	WORPHMED Srl
"6-{[(1R,2S)-2-aminocyclohexyl]amino}-7-fluoro-4-(1-methyl-1H-pyrazol-4-yl)-1,2-dihydro-3H-pyrrolo[3,4-c]pyridine-3-one monocitrate"		2/14/2017	Treatment of diffuse large B-cell lymphoma	Designated	Not FDA Approved for Orphan Indication	"Takeda Development Center Americas, Inc."
Glucopyranosyl lipid A stable emulsion		2/14/2017	Treatment of follicular lymphoma	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Immune Design Corp.
nelfinavir		2/14/2017	Treatment of multiple myeloma	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Swiss Group for Clinical Cancer Research (SAKK)
EnGeneIC delivery vehicles loaded with doxorubicin and targeted to tumor with sequences from Vectibix and mouse monoclonal antibody		2/14/2017	Treatment glioblastoma multiforme	Designated	Not FDA Approved for Orphan Indication	EnGeneIC Ltd
dextromethorphan hydrobromide/quinidine sulfate		2/14/2017	Treatment of amyotrophic lateral sclerosis (ALS)	Designated	Not FDA Approved for Orphan Indication	Avanir Pharmaceuticals
sirolimus		2/13/2017	Treatment of tuberous sclerosis complex-related facial angiofibromas	Designated	Not FDA Approved for Orphan Indication	"Aucta Pharmaceuticals, Inc."
milademetan		2/13/2017	Treatment of liposarcoma	Designated	Not FDA Approved for Orphan Indication	Rain Oncology Inc.
Atezolizumab		2/13/2017	"Treatment of patients with stage IIb, IIc, III, and IV melanoma"	Designated	Not FDA Approved for Orphan Indication	"Genentech, Inc."
atezolizumab	TECENTRIQ®	2/13/2017	"Treatment of Stage llb, llc, lll and IV melanoma"	Designated/Approved		"Genentech, Inc."
copanlisib		2/7/2017	Treatment of nodal marginal zone lymphoma	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Bayer HealthCare Pharmaceuticals, Inc."
copanlisib		2/7/2017	Treatment of extranodal marginal zone lymphoma	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Bayer HealthCare Pharmaceuticals, Inc."
Modified cholera toxin		2/7/2017	Treatment of Gaucher disease	Designated	Not FDA Approved for Orphan Indication	"ERAD Therapeutics, Inc."
"7-benzyl-4-(2-methylbenzyl)-1,2,6,7,8,9-hexahydroimidazo[1,2-a]pyrido[3,4-e]pyrimidin-5(4H)-one-2HCL"		2/7/2017	Treatment of mantle cell lymphoma (MCL)	Designated	Not FDA Approved for Orphan Indication	"Chimerix, Inc."
copanlisib		2/7/2017	Treatment of splenic marginal zone lymphoma	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Bayer HealthCare Pharmaceuticals, Inc."
bomedemstat		2/7/2017	Treatment of acute myeloid leukemia (AML)	Designated	Not FDA Approved for Orphan Indication	"Merck & Co., Inc."
Brentuximab vedotin		2/6/2017	Treatment of cutaneous T-cell lymphoma	Designated	Not FDA Approved for Orphan Indication	Seagen Inc.
Anti-HER2 bispecific antibody		2/6/2017	"Treatment of gastric cancer, including cancer of the gastroesophageal junction"	Designated	Not FDA Approved for Orphan Indication	Jazz Pharmaceuticals Ireland Limited
donislecel-jujn	Lantidra	2/1/2017	Treatment of Brittle Type 1 Diabetes	Designated/Approved		CellTrans Inc.
"6-[(3S,4S-4-methyl-1-(pyrimidin-2-ylmethyl)pyrrolidin-3-yl]-3-tetrahydropyran-4-yl-7H-imadazo[1,5-a]pyrazin-8-one"		1/31/2017	Treatment of sickle cell disease (SCD)	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Imara Inc.
laquinimod sodium		1/31/2017	Treatment of Huntington's Disease	Designated	Not FDA Approved for Orphan Indication	Active Biotech AB
nitric oxide		1/31/2017	Treatment of idiopathic pulmonary fibrosis	Designated	Not FDA Approved for Orphan Indication	VERO Biotech
adeno-associated virus (AAV) serotype rh.10 expressing beta-galactosidase		1/30/2017	Treatment of GM1 gangliosidosis	Designated	Not FDA Approved for Orphan Indication	"Lysogene, Inc."
hydroxypioglitazone		1/30/2017	Treatment of X-linked adrenoleukodystrophy	Designated	Not FDA Approved for Orphan Indication	Minoryx Therapeutics S.L.
Para-toluenesulfonamide		1/30/2017	Treatment of adenoid cystic carcinoma	Designated	Not FDA Approved for Orphan Indication	PTS International Inc.
vixotrigine		1/30/2017	Treatment of erythromelalgia	Designated	Not FDA Approved for Orphan Indication	"Biogen, Inc."
melatonin		1/25/2017	Treatment of necrotizing enterocolitis	Designated	Not FDA Approved for Orphan Indication	WORPHMED Srl
Dendritic cell/tumor cell fusion vaccine + recombinant human interleukin 12		1/25/2017	Treatment of malignant glioma	Designated	Not FDA Approved for Orphan Indication	CyTIX Inc.
3-[4-(lH-imidazol-l-ylmethyl)phenyl]-5-(2-methylpropyl) thiophene-2-[(N-butyloxylcarbamate)-sulphonamide] sodium salt		1/25/2017	Treatment of idiopathic pulmonary fibrosis	Designated	Not FDA Approved for Orphan Indication	Vicore Pharma AB
"(R)-2-(5-cyano-2-(6-(methoxycarbonyl)-7-methyl-3-oxo-8-(3-(trifluoromethyl)phenyl)-2,3,5,8-tetrahydro-[1,2,4]triazolo[4,3-a]pyrimidin-5-yl)phenyl)-N,N,N-trimethylethanaminium methanesulfonate dehydrate"		1/25/2017	Treatment of cystic fibrosis	Designated	Not FDA Approved for Orphan Indication	Chiesi Farmaceutici S.p.A.
nicotinamide riboside		1/25/2017	"Treatment of mitochondrial encephalopathy, lactic acidosis, and stroke-like episodes syndrome (MELAS)"	Designated	Not FDA Approved for Orphan Indication	Rejuvenation Therapeutics
adeno-associated viral vector serotype 2.7m8 containing the chrimsonR-tdTomato gene		1/25/2017	Treatment of retinitis pigmentosa	Designated	Not FDA Approved for Orphan Indication	GenSight Biologics
nitric oxide		1/25/2017	Treatment of pulmonary arterial hypertension excluding persistent pulmonary hypertension of the newborn	Designated	Not FDA Approved for Orphan Indication	"GeNo, LLC"
Human monoclonal antibody directed against human Activin A		1/19/2017	Treatment of fibrodysplasia ossificans progressiva	Designated	Not FDA Approved for Orphan Indication	"Regeneron Pharmaceuticals, Inc."
humanized IgG4 monoclonal antibody binding to human C1q		1/19/2017	Treatment of Guillain-Barre Syndrome	Designated	Not FDA Approved for Orphan Indication	"Annexon, Inc."
D-tagatose		1/19/2017	Treatment of Prader-Willi Syndrome	Designated	Not FDA Approved for Orphan Indication	Biospherics.net LLC
umbralisib in combination with ublituximab		1/19/2017	Treatment of diffuse large B-cell lymphoma	Designated	Not FDA Approved for Orphan Indication	"TG Therapeutics, Inc."
D9-ivacaftor		1/18/2017	Treatment of cystic fibrosis (CF)	Designated	Not FDA Approved for Orphan Indication	"Vertex Pharmaceuticals, Inc."
hyaluronic acid		1/18/2017	Treatment of emphysema due to alpha1-antitrypsin deficiency.	Designated	Not FDA Approved for Orphan Indication	"Gerard M. Turino, MD"
3-[3-(6-guanidino-1-oxoisoindolin-2yl) propanamido]-3-(pyridine-3yl) propanoic acid dihydrochloride		1/17/2017	Treatment of retinopathy of prematurity	Designated	Not FDA Approved for Orphan Indication	"Advanced Imaging Projects, LLC"
"2-Amino-4-[11C]methylsulfanyl-butanoic acid, l-[S methyl[11C]methionine"		1/17/2017	Diagnostic agent for the Clinical Management of Medulloblastoma	Designated	Not FDA Approved for Orphan Indication	"Advanced Imaging Projects, LLC"
(E)-N¿-(1-(5-Chloro-2-hydroxy phenyl)Ethylidene)-3-((4-Methyl Piperazin-1-yl) Sulfonyl) Benzohydrazide Mesylate		1/12/2017	Treatment of Ewing's sarcoma.	Designated	Not FDA Approved for Orphan Indication	Salarius Pharmaceuticals
viltolarsen	VILTEPSO	1/12/2017	Treatment of Duchenne Muscular Dystrophy	Designated/Approved		"NS Pharma, Inc."
anti-interleukin 21 (NNC0114-0006) in combination with liraglutide		1/12/2017	Treatment of Type I Diabetes Mellitus with residual beta cell function.	Designated	Not FDA Approved for Orphan Indication	"Novo Nordisk, Inc."
tadekinig alfa		1/12/2017	Treatment of hemophagocytic lymphohistiocytosis	Designated	Not FDA Approved for Orphan Indication	AB2 Bio Ltd
Glyburide		1/12/2017	Treatment of severe cerebral edema in patients with acute ischemic stroke	Designated	Not FDA Approved for Orphan Indication	"Remedy Pharmaceuticals, Inc."
methyldopa		1/12/2017	Treatment of type 1 diabetes in DQ8 positive patients with residual beta cell function	Designated	Not FDA Approved for Orphan Indication	IM Therapeutics LLC
Non-replicating recombinant adeno-associated viral vector expressing the human acid alpha-glucosidase gene		1/11/2017	Treatment of Pompe disease	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Asklepios Biopharmaceutics, Inc"
4-methylpiperazine-1-carboxylic acid [1-(3-benzenesufonyl-1-phenethylallyl-carbamoyl)-2-phenylethyl] amide		1/11/2017	Treatment of Chagas disease.	Designated	Not FDA Approved for Orphan Indication	Center for Discovery & Innovation in Parasitic Diseases
"Monovalent replication-incompetent adenovirus serotype 26 (Ad26) vaccine, AD26.ZEBOV in combination with multivalent replication-defective Modified Vaccinia Ankara (MVA)-Bavarian Nordic (BN) vaccine, MVA-mBN226B"		1/11/2017	Pre-exposure prophylaxis of Ebola virus disease	Designated	Not FDA Approved for Orphan Indication	Janssen Vaccines and Prevention B.V.
Ritonavir powder for oral suspension	Norvir Powder for Oral Suspension	1/11/2017	Use with other antiretroviral agents for the treatment of pediatric HIV-1 infection	Designated/Approved/Designation Withdrawn or Revoked		AbbVie Inc.
human single domain antibody-like protein inhibitor of the chemokine receptor type 4		1/11/2017	Treatment of idiopathic pulmonary fibrosis	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	AdAlta Limited
"protoplasmic protein matrix, omega-3 fatty oils, vitamins, minerals and trace elements, cell membrane matrix phospholipid, entracellular matrix, lipids, medium chain triglycerides, longer chain triglycerides, carbohydrates, probiotic, and phytonutrients"		1/11/2017	Treatment of juvenile rheumatoid arthritis.	Designated	Not FDA Approved for Orphan Indication	"Leonard S. Girsh, MD"
glecaprevir and pibrentasvir	MAVYRET	1/9/2017	Treatment of pediatric patients with chronic hepatitis C virus infection	Designated/Approved		"AbbVie, Inc."
Clenbuterol		1/9/2017	Treatment of Pompe disease (glycogen storage disease type II)	Designated	Not FDA Approved for Orphan Indication	"Dwight D. Koeberl, MD, PhD"
adeno-associated virus serotype 2/6 (rAAV2/6) vectors encoding zinc finger nucleases (ZFNs) and the human alpha-L-iduronidase (hIDUA) gene		1/9/2017	Treatment of mucopolysaccharidosis type I (MPS I)	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Sangamo Therapeutics, Inc."
glecaprevir and pibrentasvir	Mavyret	1/9/2017	Treatment of pediatric patients with chronic hepatitis C virus infection	Designated/Approved		"AbbVie, Inc."
Vancomycin HCL and Tobramycin sulfate multi-pack component of the Joint Purification Systems X7 Spacer		1/9/2017	Treatment of periprosthetic joint infection	Designated	Not FDA Approved for Orphan Indication	Joint Purification Systems LLC
L-citrulline		1/9/2017	Prevention of clinical sequelae of acute lung injury induced by cardiopulmonary bypass in pediatric patients	Designated	Not FDA Approved for Orphan Indication	"Asklepion Pharmaceuticals, LLC"
umbralisib in combination with ublituximab		1/5/2017	Treatment of chronic lymphocytic leukemia	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"TG Therapeutics, Inc."
echinomycin		1/5/2017	Treatment of graft-versus-host disease (GVHD)	Designated	Not FDA Approved for Orphan Indication	"OncoC4, Inc."
"(S)-2-(1-((6-amino-5-cyanopyrimidin-4-yl)amino)ethyl)-4-oxo-3-phenyl3,4-dihydropyrrolo[2,1-f][1,2,4]triazine-5-carbonitrile"		1/5/2017	Treatment of epidermolysis bullosa acquisita	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Almirall, S.A."
Celecoxib oral liquid suspension		1/5/2017	Treatment of pediatric juvenile idiopathic arthritis	Designated	Not FDA Approved for Orphan Indication	"NuBioPharma, LLC"
cytomegalovirus specific cytotoxic T lymphocytes		1/5/2017	Treatment of cytomegalovirus infection in severely immunocompromised patients	Designated	Not FDA Approved for Orphan Indication	"ViraCyte, LLC"
ravulizumab-cwvz	Ultomiris	1/4/2017	Treatment of paroxysmal nocturnal hemoglobinuria	Designated/Approved		"Alexion Pharmaceuticals, Inc."
risdiplam	Evrysdi	1/4/2017	Treatment of spinal muscular atrophy	Designated/Approved		"Genentech, Inc., a Member of the Roche Group"
ravulizumab-cwvz	Ultomiris	1/4/2017	Treatment of paroxysmal nocturnal hemoglobinuria	Designated/Approved		"Alexion Pharmaceuticals, Inc."
ravulizumab-cwvz	Ultomiris	1/4/2017	Treatment of paroxysmal nocturnal hemoglobinuria	Designated/Approved		"Alexion Pharmaceuticals, Inc."
emixustat		1/4/2017	Treatment of Stargardt disease (STGD)	Designated	Not FDA Approved for Orphan Indication	Acucela Inc.
risdiplam	Evrysdi	1/4/2017	Treatment of spinal muscular atrophy	Designated/Approved		"Genentech, Inc., a Member of the Roche Group"
lenalidomide	Revlimid	1/4/2017	Treatment of nodal marginal zone lymphoma	Designated/Approved		Celgene Corporation
lenalidomide	Revlimid	1/4/2017	Treatment of splenic marginal zone lymphoma	Designated/Approved		Celgene Corporation
pyridoxal-5¿ phosphate monohydrate (P5P)		1/4/2017	Treatment of seizures associated with pyridox(am)ine 5'-phosphate oxidase (PNPO) deficiency	Designated	Not FDA Approved for Orphan Indication	Medicure International Inc.
ravulizumab-cwvz	Ultomiris	1/4/2017	Treatment of paroxysmal nocturnal hemoglobinuria	Designated/Approved		"Alexion Pharmaceuticals, Inc."
"Inactivated purified rabies virus (IPRV) and the PIKA adjuvant (Poly I:C, kanamycin and calcium)"		12/29/2016	Prevention of rabies virus infection including post-exposure prophylaxis (PEP) for rabies	Designated	Not FDA Approved for Orphan Indication	"Yisheng US Biopharma, Inc."
pembrolizumab	Keytruda	12/28/2016	Treatment of Merkel cell carcinoma	Designated/Approved		Merck Sharp & Dohme LLC
ganaxolone		12/28/2016	Treatment of Fragile X Syndrome	Designated	Not FDA Approved for Orphan Indication	Marinus Pharmaceuticals
flotetuzumab		12/22/2016	Treatment of acute myeloid leukemia (AML)	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"MacroGenics, Inc."
Silmitasertib		12/22/2016	Treatment of cholangiocarcinoma	Designated	Not FDA Approved for Orphan Indication	"Senhwa Biosciences, Inc."
nivolumab	Opdivo	12/20/2016	Treatment of gastric cancer and gastro-esophageal junction cancer	Designated/Approved		Bristol-Myers Squibb Company
nivolumab	Opdivo	12/20/2016	Treatment of gastric cancer and gastro-esophageal junction cancer	Designated/Approved		Bristol-Myers Squibb Company
Nivolumab and Ipilimumab		12/20/2016	Treatment of gastric cancer and gastric-esophageal junction cancer.	Designated	Not FDA Approved for Orphan Indication	Bristol-Myers Squibb Company
eflornithine		12/14/2016	Treatment of pancreatic cancer.	Designated	Not FDA Approved for Orphan Indication	"Panbela Therapeutics, Inc."
tetrandrine		12/13/2016	Treatment of acute myeloid leukemia.	Designated	Not FDA Approved for Orphan Indication	"Escend Pharmaceuticals, Inc."
3-aminopropyl-butyl phosphinic acid		12/13/2016	Treatment of succinic semialdehyde dehydrogenase deficiency.	Designated	Not FDA Approved for Orphan Indication	"Speragen, Inc."
polatuzumab vedotin-piiq	POLIVY	12/12/2016	Treatment of diffuse large B-cell lymphoma	Designated/Approved		"Genentech, Inc."
Nintedanib		12/12/2016	Treatment of mesothelioma	Designated	Not FDA Approved for Orphan Indication	"Boehringer Ingelheim Pharmaceuticals, Inc."
immune globulin (human)		12/12/2016	Treatment of Myasthenia Gravis	Designated	Not FDA Approved for Orphan Indication	"Grifols Therapeutics, Inc."
polatuzumab vedotin-piiq	Polivy	12/12/2016	Treatment of diffuse large B-cell lymphoma	Designated/Approved		"Genentech, Inc."
ascorbic acid		12/12/2016	Treatment of lung dysfunction following lung transplant	Designated	Not FDA Approved for Orphan Indication	"Renovion, Inc."
avexitide		12/8/2016	Treatment of hyperinsulinemic hypoglycemia	Designated	Not FDA Approved for Orphan Indication	"Eiger BioPharmaceuticals, Inc."
miltefosine		12/6/2016	Treatment of primary amebic encephalitis (PAM)	Designated	Not FDA Approved for Orphan Indication	"Profounda, Inc."
miltefosine		12/6/2016	Treatment of Acanthamoeba keratitis	Designated	Not FDA Approved for Orphan Indication	"Profounda, Inc."
"5-{[(3R,4R)-1-(4-chloro-2,6-difluorophenyl)-3,4-dihydroxypiperidin-4-yl]methoxy}-8-fluoro-3,4-dihydroquinolin-2(1H)-one"		12/5/2016	Treatment of active tuberculosis	Designated	Not FDA Approved for Orphan Indication	"Otsuka Pharmaceutical Company, Ltd"
"((4-(3-benzyl-4-hydroxybenzyl)-3,5-dimethylphenoxy)methyl)phosphonic acid"		12/5/2016	Treatment of X-linked adrenoleukodystrophy	Designated	Not FDA Approved for Orphan Indication	"Viking Therapeutics, Inc."
C1 esterase inhibitor (Human)		11/30/2016	Treatment of acute antibody mediated rejection following kidney transplantation	Designated	Not FDA Approved for Orphan Indication	"Takeda Development Center Americas, Inc."
cannabidivarin		11/30/2016	Treatment of Rett syndrome	Designated	Not FDA Approved for Orphan Indication	GW Research Ltd.
Yersinia pestis plague recombinant antigen (rF1V; F1 capsular protein fused to V antigen; E. coli) vaccine with aluminum hydroxide		11/30/2016	Prevention of plague (Yersinia pestis)	Designated	Not FDA Approved for Orphan Indication	"The Surgeon General, Department of the Army"
lactobacillus plantarum		11/30/2016	Treatment of amyotrophic lateral sclerosis (ALS)	Designated	Not FDA Approved for Orphan Indication	"New Biotic, LLC"
riluzole orally disolving tablet		11/30/2016	Treatment of amyotrophic lateral sclerosis (ALS)	Designated	Not FDA Approved for Orphan Indication	"Biohaven Pharmaceutical Holding Company, Ltd"
nanoparticles containing Zoledronic acid		11/29/2016	Treatment of Glioma	Designated	Not FDA Approved for Orphan Indication	Laboratorio Italiano Biochimico Farmaceutico Lisapharma SpA
(2-((2-chlorophenyl)(phenyl)amino)-N-(7-(hydroxyamino)-7-oxoheptyl)pyrimidine-5-carboxamide)		11/29/2016	Treatment of multiple myeloma	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Acetylon Pharmaceuticals, Inc. (Celgene Subsidiary)"
risankizumab		11/29/2016	Treatment of pediatric Crohn's disease	Designated	Not FDA Approved for Orphan Indication	AbbVie Inc.
adenovirus associated viral vector serotype 5 containing the RPGR gene		11/29/2016	Treatment of retinitis pigmentosa	Designated	Not FDA Approved for Orphan Indication	"Janssen Research & Development, LLC"
cellspan esophageal implant		11/29/2016	"Restore the structure and function of the esophagus subsequent to esophageal damage due to cancer, injury, or congenital abnormality"	Designated	Not FDA Approved for Orphan Indication	"Biostage, Inc."
cannabidiol		11/29/2016	Treatment of Graft versus Host Disease	Designated	Not FDA Approved for Orphan Indication	"Kalytera Therapeutics Israel, Ltd."
sodium 2-hydroxylinoleate		11/23/2016	Treatment of pancreatic cancer.	Designated	Not FDA Approved for Orphan Indication	"Ability Pharmaceuticals, SL"
mRNA encoding human ornithine transcarbamylase		11/23/2016	Treatment of ornithine transcarbamylase deficiency	Designated	Not FDA Approved for Orphan Indication	"PhaseRx, Inc."
"Isoindolin-1,3-Di Thione"		11/21/2016	Treatment of Frontotemporal dementia	Designated	Not FDA Approved for Orphan Indication	"P2D, Inc."
"5-(4,6-dimorpholino-1,3,5-triazin-2-yl)-4-(trifluoromethyl)-pyridin-2-amine"		11/21/2016	Treatment of primary central nervous system lymphoma.	Designated	Not FDA Approved for Orphan Indication	"Torqur AG, a subsidiary of Swiss Rockets AG"
